graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
MANN-a27,380,70552,6,9934768
MANN-a27,380,70552,6,10273510
MANN-a27,380,70552,6,10082578
MANN-a27,380,70552,6,10341412
MANN-a27,380,70552,6,10044224
MANN-a27,380,70552,6,10138000
MANN-a27,380,70552,6,10166628
MANN-a27,380,70552,6,10230340
MANN-a27,380,70552,6,10277513
MANN-a27,380,70552,6,9709973
MANN-a27,380,70552,6,10116537
MANN-a27,380,70552,6,10126561
MANN-a27,380,70552,6,10377096
MANN-a27,380,70552,6,10351878
MANN-a27,380,70552,6,10335602
MANN-a27,380,70552,6,9796422
MANN-a27,380,70552,6,10058558
MANN-a27,380,70552,6,9801082
MANN-a27,380,70552,6,10089834
MANN-a27,380,70552,6,10159843
MANN-a27,380,70552,6,10244817
MANN-a27,380,70552,6,10142493
MANN-a27,380,70552,6,10075405
MANN-a27,380,70552,6,10236061
MANN-a27,380,70552,6,10265315
MANN-a27,380,70552,6,10410383
MANN-a27,380,70552,6,10094870
MANN-a27,380,70552,6,10191364
MANN-a27,380,70552,6,9933309
MANN-a27,380,70552,6,10236466
