graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
brock800-2,802,208167,12,103395459
brock800-2,802,208167,12,98881754
brock800-2,802,208167,12,95043418
brock800-2,802,208167,12,95065459
brock800-2,802,208167,12,86009856
brock800-2,802,208167,12,87766229
brock800-2,802,208167,12,86745622
brock800-2,802,208167,12,84095819
brock800-2,802,208167,12,95168863
brock800-2,802,208167,12,88054968
brock800-2,802,208167,12,86602649
brock800-2,802,208167,12,90937464
brock800-2,802,208167,12,97373870
brock800-2,802,208167,12,91321591
brock800-2,802,208167,12,95148862
brock800-2,802,208167,12,92439326
brock800-2,802,208167,12,90229906
brock800-2,802,208167,12,88592948
brock800-2,802,208167,12,92583052
brock800-2,802,208167,12,93129624
brock800-2,802,208167,12,97174111
brock800-2,802,208167,12,98782977
brock800-2,802,208167,12,90642851
brock800-2,802,208167,12,83813224
brock800-2,802,208167,12,80116967
brock800-2,802,208167,12,88086373
brock800-2,802,208167,12,86203806
brock800-2,802,208167,12,92479087
brock800-2,802,208167,12,86556177
brock800-2,802,208167,12,85958585
