graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gen400-p0-9-65,402,71821,6,13082206
gen400-p0-9-65,402,71821,7,11812974
gen400-p0-9-65,402,71821,6,11541323
gen400-p0-9-65,402,71821,6,12734853
gen400-p0-9-65,402,71821,7,10793120
gen400-p0-9-65,402,71821,6,11956408
gen400-p0-9-65,402,71821,6,11936647
gen400-p0-9-65,402,71821,6,13352278
gen400-p0-9-65,402,71821,6,11529246
gen400-p0-9-65,402,71821,6,11535012
gen400-p0-9-65,402,71821,6,11736333
gen400-p0-9-65,402,71821,7,12186396
gen400-p0-9-65,402,71821,6,11137858
gen400-p0-9-65,402,71821,6,12246321
gen400-p0-9-65,402,71821,6,12221474
gen400-p0-9-65,402,71821,6,11766070
gen400-p0-9-65,402,71821,6,12314091
gen400-p0-9-65,402,71821,6,11797867
gen400-p0-9-65,402,71821,7,11857387
gen400-p0-9-65,402,71821,6,11912475
gen400-p0-9-65,402,71821,6,12058909
gen400-p0-9-65,402,71821,6,12963450
gen400-p0-9-65,402,71821,6,11839831
gen400-p0-9-65,402,71821,6,11468473
gen400-p0-9-65,402,71821,6,11781141
gen400-p0-9-65,402,71821,7,10897709
gen400-p0-9-65,402,71821,6,11502495
gen400-p0-9-65,402,71821,7,11128856
gen400-p0-9-65,402,71821,6,11945904
gen400-p0-9-65,402,71821,7,11641726
