graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
hamming6-2,66,1825,7,76353
hamming6-2,66,1825,7,77320
hamming6-2,66,1825,7,75154
hamming6-2,66,1825,7,68764
hamming6-2,66,1825,7,70945
hamming6-2,66,1825,8,68767
hamming6-2,66,1825,7,76995
hamming6-2,66,1825,7,81544
hamming6-2,66,1825,6,80632
hamming6-2,66,1825,7,73143
hamming6-2,66,1825,7,80624
hamming6-2,66,1825,7,75283
hamming6-2,66,1825,8,66813
hamming6-2,66,1825,7,77646
hamming6-2,66,1825,7,70685
hamming6-2,66,1825,6,81240
hamming6-2,66,1825,7,71744
hamming6-2,66,1825,6,95132
hamming6-2,66,1825,8,69677
hamming6-2,66,1825,7,80632
hamming6-2,66,1825,7,75415
hamming6-2,66,1825,7,73400
hamming6-2,66,1825,7,72483
hamming6-2,66,1825,7,74187
hamming6-2,66,1825,7,73838
hamming6-2,66,1825,7,78751
hamming6-2,66,1825,6,75766
hamming6-2,66,1825,7,71343
hamming6-2,66,1825,7,67950
hamming6-2,66,1825,7,74966
