graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
san200-0-7-1,202,13931,9,1822724
san200-0-7-1,202,13931,9,1747526
san200-0-7-1,202,13931,9,1799805
san200-0-7-1,202,13931,11,1883863
san200-0-7-1,202,13931,8,1767970
san200-0-7-1,202,13931,8,1817882
san200-0-7-1,202,13931,10,1705619
san200-0-7-1,202,13931,9,1700760
san200-0-7-1,202,13931,9,1822998
san200-0-7-1,202,13931,9,1969927
san200-0-7-1,202,13931,9,1855487
san200-0-7-1,202,13931,9,1621787
san200-0-7-1,202,13931,8,1875320
san200-0-7-1,202,13931,10,1747915
san200-0-7-1,202,13931,9,1606365
san200-0-7-1,202,13931,9,1841261
san200-0-7-1,202,13931,10,1642309
san200-0-7-1,202,13931,8,2009782
san200-0-7-1,202,13931,8,1736227
san200-0-7-1,202,13931,8,1739526
san200-0-7-1,202,13931,6,1850310
san200-0-7-1,202,13931,8,1762308
san200-0-7-1,202,13931,10,1769272
san200-0-7-1,202,13931,10,1721221
san200-0-7-1,202,13931,9,1604688
san200-0-7-1,202,13931,9,1655410
san200-0-7-1,202,13931,9,1704865
san200-0-7-1,202,13931,9,1842657
san200-0-7-1,202,13931,9,1610336
san200-0-7-1,202,13931,8,1682956
