graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
GD99_c.txt,105,120,96,195361
GD99_c.txt,105,120,95,196308
GD99_c.txt,105,120,93,196665
GD99_c.txt,105,120,95,200266
GD99_c.txt,105,120,93,206911
GD99_c.txt,105,120,95,208894
GD99_c.txt,105,120,93,213168
GD99_c.txt,105,120,94,214100
GD99_c.txt,105,120,94,192212
GD99_c.txt,105,120,94,193751
GD99_c.txt,105,120,96,200904
GD99_c.txt,105,120,96,187818
GD99_c.txt,105,120,96,190059
GD99_c.txt,105,120,95,206171
GD99_c.txt,105,120,94,200534
GD99_c.txt,105,120,94,198602
GD99_c.txt,105,120,98,187440
GD99_c.txt,105,120,94,195788
GD99_c.txt,105,120,99,187718
GD99_c.txt,105,120,94,195608
GD99_c.txt,105,120,95,194337
GD99_c.txt,105,120,96,188375
GD99_c.txt,105,120,94,195112
GD99_c.txt,105,120,95,194462
GD99_c.txt,105,120,96,138676
GD99_c.txt,105,120,93,137555
GD99_c.txt,105,120,95,178283
GD99_c.txt,105,120,96,179461
GD99_c.txt,105,120,94,175673
GD99_c.txt,105,120,94,176194
