graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
GlossGT.txt,67,118,46,80543
GlossGT.txt,67,118,47,80672
GlossGT.txt,67,118,46,80467
GlossGT.txt,67,118,47,81176
GlossGT.txt,67,118,47,82964
GlossGT.txt,67,118,47,85297
GlossGT.txt,67,118,46,89368
GlossGT.txt,67,118,47,89267
GlossGT.txt,67,118,48,75937
GlossGT.txt,67,118,47,77695
GlossGT.txt,67,118,46,77991
GlossGT.txt,67,118,47,78436
GlossGT.txt,67,118,48,78063
GlossGT.txt,67,118,45,86259
GlossGT.txt,67,118,45,84712
GlossGT.txt,67,118,46,81095
GlossGT.txt,67,118,47,76691
GlossGT.txt,67,118,46,75687
GlossGT.txt,67,118,47,78166
GlossGT.txt,67,118,46,80867
GlossGT.txt,67,118,47,77583
GlossGT.txt,67,118,44,78739
GlossGT.txt,67,118,45,84530
GlossGT.txt,67,118,46,83176
GlossGT.txt,67,118,46,59282
GlossGT.txt,67,118,45,63758
GlossGT.txt,67,118,46,79173
GlossGT.txt,67,118,46,79577
GlossGT.txt,67,118,45,77739
GlossGT.txt,67,118,45,77950
