graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
ash85,87,220,51,56769
ash85,87,220,50,61681
ash85,87,220,51,54602
ash85,87,220,51,53735
ash85,87,220,51,54195
ash85,87,220,51,53990
ash85,87,220,51,54339
ash85,87,220,51,55573
ash85,87,220,50,57646
ash85,87,220,51,53290
ash85,87,220,50,57418
ash85,87,220,51,52724
ash85,87,220,51,53603
ash85,87,220,47,64401
ash85,87,220,50,60802
ash85,87,220,51,55530
ash85,87,220,51,57174
ash85,87,220,51,56044
ash85,87,220,51,54128
ash85,87,220,48,65235
ash85,87,220,51,54857
ash85,87,220,51,52990
ash85,87,220,51,53101
ash85,87,220,51,56297
ash85,87,220,51,56200
ash85,87,220,51,52760
ash85,87,220,51,52059
ash85,87,220,51,54339
ash85,87,220,51,57720
ash85,87,220,51,58038
