graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bcsstk03,114,265,73,87206
bcsstk03,114,265,73,87253
bcsstk03,114,265,73,84275
bcsstk03,114,265,73,85567
bcsstk03,114,265,74,83235
bcsstk03,114,265,72,84778
bcsstk03,114,265,69,84691
bcsstk03,114,265,73,83563
bcsstk03,114,265,74,84323
bcsstk03,114,265,73,83478
bcsstk03,114,265,74,94325
bcsstk03,114,265,71,91772
bcsstk03,114,265,73,85195
bcsstk03,114,265,74,83903
bcsstk03,114,265,73,85044
bcsstk03,114,265,74,84247
bcsstk03,114,265,74,85119
bcsstk03,114,265,73,84621
bcsstk03,114,265,73,84018
bcsstk03,114,265,73,84187
bcsstk03,114,265,71,84171
bcsstk03,114,265,74,85623
bcsstk03,114,265,71,84437
bcsstk03,114,265,70,83980
bcsstk03,114,265,72,84726
bcsstk03,114,265,71,84600
bcsstk03,114,265,67,84146
bcsstk03,114,265,72,86469
bcsstk03,114,265,73,85012
bcsstk03,114,265,71,84413
