graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bp___400,824,4016,405,9279154
bp___400,824,4016,405,9198648
bp___400,824,4016,405,9347953
bp___400,824,4016,405,9121199
bp___400,824,4016,405,8972736
bp___400,824,4016,405,9240320
bp___400,824,4016,405,9176790
bp___400,824,4016,405,9345785
bp___400,824,4016,405,9166402
bp___400,824,4016,405,9093263
bp___400,824,4016,405,9179546
bp___400,824,4016,405,9321404
bp___400,824,4016,405,9930707
bp___400,824,4016,405,9939419
bp___400,824,4016,405,9823211
bp___400,824,4016,405,9444182
bp___400,824,4016,405,10021907
bp___400,824,4016,405,9460264
bp___400,824,4016,405,9034617
bp___400,824,4016,405,10546834
bp___400,824,4016,405,10746903
bp___400,824,4016,405,11517639
bp___400,824,4016,405,10469698
bp___400,824,4016,405,9657945
bp___400,824,4016,405,9105612
bp___400,824,4016,405,11273659
bp___400,824,4016,405,10782400
bp___400,824,4016,405,9630194
bp___400,824,4016,405,9638483
bp___400,824,4016,405,10889069
