graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
can__161,163,609,68,207595
can__161,163,609,67,228030
can__161,163,609,68,205557
can__161,163,609,68,209774
can__161,163,609,68,203467
can__161,163,609,68,200447
can__161,163,609,68,201687
can__161,163,609,68,202754
can__161,163,609,68,207678
can__161,163,609,68,201614
can__161,163,609,68,203096
can__161,163,609,68,195024
can__161,163,609,68,197848
can__161,163,609,68,204703
can__161,163,609,68,200504
can__161,163,609,68,199455
can__161,163,609,68,199467
can__161,163,609,68,198658
can__161,163,609,68,203527
can__161,163,609,68,203535
can__161,163,609,68,203456
can__161,163,609,68,209925
can__161,163,609,68,200453
can__161,163,609,68,197604
can__161,163,609,68,193869
can__161,163,609,68,199021
can__161,163,609,68,198944
can__161,163,609,68,199721
can__161,163,609,68,205257
can__161,163,609,68,196082
