graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
can___24,26,69,18,6399
can___24,26,69,16,6159
can___24,26,69,17,5852
can___24,26,69,18,5711
can___24,26,69,17,5996
can___24,26,69,17,6485
can___24,26,69,17,5923
can___24,26,69,16,5938
can___24,26,69,18,5930
can___24,26,69,16,5726
can___24,26,69,17,5962
can___24,26,69,17,6118
can___24,26,69,16,5851
can___24,26,69,15,5716
can___24,26,69,18,5708
can___24,26,69,18,5727
can___24,26,69,16,5857
can___24,26,69,18,5689
can___24,26,69,18,5929
can___24,26,69,18,5707
can___24,26,69,16,6007
can___24,26,69,18,5768
can___24,26,69,15,5728
can___24,26,69,18,6062
can___24,26,69,18,5860
can___24,26,69,15,5893
can___24,26,69,17,6030
can___24,26,69,18,5979
can___24,26,69,18,5566
can___24,26,69,18,5661
