graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
dwt__503,505,2763,179,3011736
dwt__503,505,2763,179,2968111
dwt__503,505,2763,179,3001342
dwt__503,505,2763,179,3006131
dwt__503,505,2763,179,3032907
dwt__503,505,2763,179,2921416
dwt__503,505,2763,179,3002394
dwt__503,505,2763,179,2991107
dwt__503,505,2763,179,2944071
dwt__503,505,2763,179,2962162
dwt__503,505,2763,179,2992937
dwt__503,505,2763,179,3131003
dwt__503,505,2763,179,2928146
dwt__503,505,2763,179,3002623
dwt__503,505,2763,179,3030281
dwt__503,505,2763,179,2950594
dwt__503,505,2763,179,3025331
dwt__503,505,2763,179,3024870
dwt__503,505,2763,179,2997848
dwt__503,505,2763,179,2993525
dwt__503,505,2763,179,2877871
dwt__503,505,2763,179,2973753
dwt__503,505,2763,179,2954327
dwt__503,505,2763,179,2926508
dwt__503,505,2763,179,2926258
dwt__503,505,2763,179,2897880
dwt__503,505,2763,179,3058451
dwt__503,505,2763,179,2864861
dwt__503,505,2763,179,2906605
dwt__503,505,2763,179,2991858
