graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
dwt___66,68,128,49,31593
dwt___66,68,128,49,31127
dwt___66,68,128,49,31078
dwt___66,68,128,49,38773
dwt___66,68,128,49,31061
dwt___66,68,128,49,29995
dwt___66,68,128,49,29480
dwt___66,68,128,49,29962
dwt___66,68,128,49,30648
dwt___66,68,128,49,30355
dwt___66,68,128,49,30396
dwt___66,68,128,49,29623
dwt___66,68,128,49,30674
dwt___66,68,128,49,30551
dwt___66,68,128,49,30161
dwt___66,68,128,49,31001
dwt___66,68,128,49,29684
dwt___66,68,128,49,29921
dwt___66,68,128,49,30242
dwt___66,68,128,49,29764
dwt___66,68,128,49,30763
dwt___66,68,128,49,31892
dwt___66,68,128,49,31127
dwt___66,68,128,49,31834
dwt___66,68,128,49,30455
dwt___66,68,128,49,30737
dwt___66,68,128,49,30874
dwt___66,68,128,47,30505
dwt___66,68,128,49,30061
dwt___66,68,128,49,30614
