graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
e05r0000,238,2848,33,671558
e05r0000,238,2848,33,697435
e05r0000,238,2848,33,679169
e05r0000,238,2848,33,652210
e05r0000,238,2848,33,674265
e05r0000,238,2848,33,663077
e05r0000,238,2848,33,652399
e05r0000,238,2848,33,671084
e05r0000,238,2848,32,665006
e05r0000,238,2848,33,653547
e05r0000,238,2848,33,648991
e05r0000,238,2848,33,644263
e05r0000,238,2848,33,677324
e05r0000,238,2848,33,657342
e05r0000,238,2848,33,652464
e05r0000,238,2848,33,686901
e05r0000,238,2848,33,659650
e05r0000,238,2848,33,651471
e05r0000,238,2848,33,686780
e05r0000,238,2848,33,666606
e05r0000,238,2848,33,696204
e05r0000,238,2848,33,661224
e05r0000,238,2848,33,651224
e05r0000,238,2848,33,649607
e05r0000,238,2848,33,697929
e05r0000,238,2848,31,683427
e05r0000,238,2848,33,646980
e05r0000,238,2848,29,831187
e05r0000,238,2848,32,803032
e05r0000,238,2848,33,663333
