graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
fs_541_4,543,2467,6,3127231
fs_541_4,543,2467,6,3170534
fs_541_4,543,2467,6,3169647
fs_541_4,543,2467,5,3540781
fs_541_4,543,2467,6,3178593
fs_541_4,543,2467,6,3134846
fs_541_4,543,2467,6,3184584
fs_541_4,543,2467,6,3135134
fs_541_4,543,2467,6,3281652
fs_541_4,543,2467,6,3169347
fs_541_4,543,2467,6,3255959
fs_541_4,543,2467,6,3036161
fs_541_4,543,2467,6,3074890
fs_541_4,543,2467,6,3086255
fs_541_4,543,2467,6,3082524
fs_541_4,543,2467,6,3126493
fs_541_4,543,2467,6,3125048
fs_541_4,543,2467,6,3039648
fs_541_4,543,2467,6,3040305
fs_541_4,543,2467,6,3053264
fs_541_4,543,2467,6,3088135
fs_541_4,543,2467,6,3043171
fs_541_4,543,2467,6,3053468
fs_541_4,543,2467,6,3089452
fs_541_4,543,2467,6,3104362
fs_541_4,543,2467,6,3057449
fs_541_4,543,2467,6,3079887
fs_541_4,543,2467,6,3112807
fs_541_4,543,2467,6,3220294
fs_541_4,543,2467,6,3156919
