graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gre__343,345,1093,204,1060629
gre__343,345,1093,204,1110247
gre__343,345,1093,204,998470
gre__343,345,1093,204,1039399
gre__343,345,1093,204,1054738
gre__343,345,1093,204,1025298
gre__343,345,1093,204,1012337
gre__343,345,1093,204,958735
gre__343,345,1093,204,965738
gre__343,345,1093,204,988465
gre__343,345,1093,204,1038412
gre__343,345,1093,204,968254
gre__343,345,1093,204,983705
gre__343,345,1093,204,1004038
gre__343,345,1093,204,1005153
gre__343,345,1093,204,1033444
gre__343,345,1093,204,990125
gre__343,345,1093,204,989959
gre__343,345,1093,204,995494
gre__343,345,1093,204,1016446
gre__343,345,1093,204,1013546
gre__343,345,1093,204,1006729
gre__343,345,1093,204,1004184
gre__343,345,1093,204,995963
gre__343,345,1093,204,1028216
gre__343,345,1093,204,1020954
gre__343,345,1093,204,1030524
gre__343,345,1093,204,1005713
gre__343,345,1093,204,997371
gre__343,345,1093,204,1009433
