graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
jgl011,13,50,6,1248
jgl011,13,50,6,1203
jgl011,13,50,6,1167
jgl011,13,50,6,1100
jgl011,13,50,6,1103
jgl011,13,50,6,1136
jgl011,13,50,6,1064
jgl011,13,50,6,1140
jgl011,13,50,6,1044
jgl011,13,50,6,1082
jgl011,13,50,6,1085
jgl011,13,50,6,1073
jgl011,13,50,6,1251
jgl011,13,50,6,1132
jgl011,13,50,6,1124
jgl011,13,50,6,1075
jgl011,13,50,5,1152
jgl011,13,50,6,1107
jgl011,13,50,6,1097
jgl011,13,50,6,1110
jgl011,13,50,5,1162
jgl011,13,50,6,1112
jgl011,13,50,6,1099
jgl011,13,50,6,1121
jgl011,13,50,6,1091
jgl011,13,50,6,1102
jgl011,13,50,6,1060
jgl011,13,50,6,1072
jgl011,13,50,6,1144
jgl011,13,50,6,1114
