graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
lop163,165,599,90,219353
lop163,165,599,90,211942
lop163,165,599,90,208132
lop163,165,599,90,194703
lop163,165,599,89,196880
lop163,165,599,90,189093
lop163,165,599,90,192948
lop163,165,599,90,193655
lop163,165,599,90,187157
lop163,165,599,90,194040
lop163,165,599,90,192748
lop163,165,599,90,188489
lop163,165,599,90,195196
lop163,165,599,90,195666
lop163,165,599,90,210595
lop163,165,599,90,190908
lop163,165,599,90,192348
lop163,165,599,90,195754
lop163,165,599,90,195686
lop163,165,599,90,194295
lop163,165,599,90,197171
lop163,165,599,90,192102
lop163,165,599,90,194590
lop163,165,599,90,190462
lop163,165,599,90,205283
lop163,165,599,90,201890
lop163,165,599,90,197867
lop163,165,599,90,210241
lop163,165,599,90,192494
lop163,165,599,90,206879
