graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
lshp1009,1011,2929,563,11831190
lshp1009,1011,2929,563,12217874
lshp1009,1011,2929,563,11870307
lshp1009,1011,2929,563,11980449
lshp1009,1011,2929,563,11789980
lshp1009,1011,2929,563,11687566
lshp1009,1011,2929,563,11810774
lshp1009,1011,2929,563,11889832
lshp1009,1011,2929,563,11776474
lshp1009,1011,2929,563,11854741
lshp1009,1011,2929,563,11852504
lshp1009,1011,2929,563,12118450
lshp1009,1011,2929,563,12084755
lshp1009,1011,2929,563,11920033
lshp1009,1011,2929,563,11818184
lshp1009,1011,2929,563,11807907
lshp1009,1011,2929,563,12007959
lshp1009,1011,2929,563,12076955
lshp1009,1011,2929,563,11953761
lshp1009,1011,2929,563,12241740
lshp1009,1011,2929,563,11917641
lshp1009,1011,2929,563,12087991
lshp1009,1011,2929,563,11913904
lshp1009,1011,2929,563,12106194
lshp1009,1011,2929,563,12000020
lshp1009,1011,2929,563,11905163
lshp1009,1011,2929,563,12378385
lshp1009,1011,2929,563,12181603
lshp1009,1011,2929,563,12009048
lshp1009,1011,2929,563,12753422
