graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
lund_a,149,1152,42,191890
lund_a,149,1152,43,177211
lund_a,149,1152,43,177052
lund_a,149,1152,42,204131
lund_a,149,1152,43,200422
lund_a,149,1152,43,177141
lund_a,149,1152,43,173781
lund_a,149,1152,43,175544
lund_a,149,1152,43,173322
lund_a,149,1152,42,177746
lund_a,149,1152,43,177176
lund_a,149,1152,43,174758
lund_a,149,1152,43,174451
lund_a,149,1152,43,174696
lund_a,149,1152,43,173440
lund_a,149,1152,43,175107
lund_a,149,1152,41,176843
lund_a,149,1152,43,175641
lund_a,149,1152,43,172940
lund_a,149,1152,43,174055
lund_a,149,1152,43,176737
lund_a,149,1152,43,176172
lund_a,149,1152,43,173738
lund_a,149,1152,42,173412
lund_a,149,1152,43,171144
lund_a,149,1152,43,174717
lund_a,149,1152,42,188905
lund_a,149,1152,43,191410
lund_a,149,1152,43,174520
lund_a,149,1152,43,175260
