graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
mcca,182,1681,110,320686
mcca,182,1681,110,317412
mcca,182,1681,110,317058
mcca,182,1681,110,312295
mcca,182,1681,110,306016
mcca,182,1681,110,320862
mcca,182,1681,110,307540
mcca,182,1681,110,329402
mcca,182,1681,110,321948
mcca,182,1681,110,310728
mcca,182,1681,110,305452
mcca,182,1681,110,309226
mcca,182,1681,110,310265
mcca,182,1681,110,310890
mcca,182,1681,110,310935
mcca,182,1681,110,313048
mcca,182,1681,110,313903
mcca,182,1681,110,315200
mcca,182,1681,110,319354
mcca,182,1681,110,305853
mcca,182,1681,110,310202
mcca,182,1681,110,314020
mcca,182,1681,110,309781
mcca,182,1681,110,324678
mcca,182,1681,110,319537
mcca,182,1681,110,308070
mcca,182,1681,110,306827
mcca,182,1681,110,311241
mcca,182,1681,110,312507
mcca,182,1681,110,311388
