graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
nos3,962,7443,247,12479794
nos3,962,7443,247,12461840
nos3,962,7443,247,12777983
nos3,962,7443,247,12466527
nos3,962,7443,247,12412143
nos3,962,7443,247,12515202
nos3,962,7443,247,12501641
nos3,962,7443,247,12669398
nos3,962,7443,247,12798035
nos3,962,7443,247,12852040
nos3,962,7443,247,12433299
nos3,962,7443,247,12617419
nos3,962,7443,247,12562682
nos3,962,7443,247,12561388
nos3,962,7443,247,12758309
nos3,962,7443,247,12653247
nos3,962,7443,247,12805763
nos3,962,7443,247,12735387
nos3,962,7443,247,12609388
nos3,962,7443,247,12445357
nos3,962,7443,247,12600112
nos3,962,7443,247,12552780
nos3,962,7443,247,12977203
nos3,962,7443,247,13009977
nos3,962,7443,247,13555569
nos3,962,7443,247,13925304
nos3,962,7443,247,13932219
nos3,962,7443,247,14333287
nos3,962,7443,247,14450180
nos3,962,7443,247,15034329
