graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
olm100,102,198,66,70589
olm100,102,198,66,69146
olm100,102,198,66,66742
olm100,102,198,66,67711
olm100,102,198,66,67445
olm100,102,198,66,67988
olm100,102,198,66,67190
olm100,102,198,66,67639
olm100,102,198,66,67646
olm100,102,198,66,67350
olm100,102,198,66,67537
olm100,102,198,66,67327
olm100,102,198,66,67934
olm100,102,198,66,67118
olm100,102,198,66,71637
olm100,102,198,66,68571
olm100,102,198,66,68147
olm100,102,198,66,67934
olm100,102,198,66,67793
olm100,102,198,66,67512
olm100,102,198,66,67658
olm100,102,198,66,68781
olm100,102,198,66,67644
olm100,102,198,66,70156
olm100,102,198,66,67248
olm100,102,198,66,68240
olm100,102,198,66,67318
olm100,102,198,66,67052
olm100,102,198,66,71423
olm100,102,198,66,66776
