graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
pores_2,1226,5823,426,20420933
pores_2,1226,5823,426,20701420
pores_2,1226,5823,426,22022535
pores_2,1226,5823,426,24039087
pores_2,1226,5823,426,22188057
pores_2,1226,5823,426,24036646
pores_2,1226,5823,426,21338790
pores_2,1226,5823,426,20765937
pores_2,1226,5823,426,20716315
pores_2,1226,5823,426,20109018
pores_2,1226,5823,426,20664019
pores_2,1226,5823,426,20561833
pores_2,1226,5823,426,20479457
pores_2,1226,5823,426,20572072
pores_2,1226,5823,426,20270537
pores_2,1226,5823,426,20404791
pores_2,1226,5823,426,20338655
pores_2,1226,5823,426,20284441
pores_2,1226,5823,426,20369591
pores_2,1226,5823,426,20364945
pores_2,1226,5823,426,20438617
pores_2,1226,5823,426,20367924
pores_2,1226,5823,426,20656367
pores_2,1226,5823,426,21816853
pores_2,1226,5823,426,22751592
pores_2,1226,5823,426,20271759
pores_2,1226,5823,426,20548208
pores_2,1226,5823,426,20324492
pores_2,1226,5823,426,19555349
pores_2,1226,5823,426,19874482
