graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
rdb450,452,1066,307,2003619
rdb450,452,1066,307,2013643
rdb450,452,1066,307,2044667
rdb450,452,1066,307,1992705
rdb450,452,1066,307,1965342
rdb450,452,1066,307,1978713
rdb450,452,1066,307,1973719
rdb450,452,1066,307,1976161
rdb450,452,1066,307,1980893
rdb450,452,1066,307,1985843
rdb450,452,1066,307,1923253
rdb450,452,1066,307,2042950
rdb450,452,1066,307,1978999
rdb450,452,1066,307,1954719
rdb450,452,1066,307,1906435
rdb450,452,1066,307,1890581
rdb450,452,1066,307,1941012
rdb450,452,1066,307,1974151
rdb450,452,1066,307,1986289
rdb450,452,1066,307,1985461
rdb450,452,1066,307,1895490
rdb450,452,1066,307,1903098
rdb450,452,1066,307,1897008
rdb450,452,1066,307,1930547
rdb450,452,1066,307,1967694
rdb450,452,1066,307,1893625
rdb450,452,1066,307,1935658
rdb450,452,1066,307,1983767
rdb450,452,1066,307,1975771
rdb450,452,1066,307,1912674
