graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
saylr1,240,446,189,427773
saylr1,240,446,189,439742
saylr1,240,446,189,436782
saylr1,240,446,189,433695
saylr1,240,446,189,437492
saylr1,240,446,189,451228
saylr1,240,446,189,457562
saylr1,240,446,189,437299
saylr1,240,446,189,448507
saylr1,240,446,189,434643
saylr1,240,446,189,439999
saylr1,240,446,189,439419
saylr1,240,446,189,433005
saylr1,240,446,189,432202
saylr1,240,446,189,423932
saylr1,240,446,189,443480
saylr1,240,446,189,452068
saylr1,240,446,189,437078
saylr1,240,446,189,454310
saylr1,240,446,189,433947
saylr1,240,446,189,440163
saylr1,240,446,189,437037
saylr1,240,446,189,437584
saylr1,240,446,189,441977
saylr1,240,446,189,440910
saylr1,240,446,189,462522
saylr1,240,446,189,469789
saylr1,240,446,189,433176
saylr1,240,446,189,428837
saylr1,240,446,189,441664
