graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
tub100,102,149,91,64494
tub100,102,149,91,65673
tub100,102,149,90,75507
tub100,102,149,91,62548
tub100,102,149,91,62208
tub100,102,149,91,62508
tub100,102,149,91,62519
tub100,102,149,91,63238
tub100,102,149,91,62408
tub100,102,149,91,62134
tub100,102,149,91,63355
tub100,102,149,91,63958
tub100,102,149,91,63435
tub100,102,149,91,68818
tub100,102,149,91,65807
tub100,102,149,90,94232
tub100,102,149,91,62763
tub100,102,149,91,62772
tub100,102,149,91,63171
tub100,102,149,91,61951
tub100,102,149,91,62466
tub100,102,149,91,64650
tub100,102,149,90,67166
tub100,102,149,91,62478
tub100,102,149,91,67286
tub100,102,149,89,76097
tub100,102,149,90,68714
tub100,102,149,91,63731
tub100,102,149,91,62261
tub100,102,149,91,62885
