graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
utm300,302,2192,109,970897
utm300,302,2192,109,918580
utm300,302,2192,109,959607
utm300,302,2192,109,924490
utm300,302,2192,109,970477
utm300,302,2192,109,924323
utm300,302,2192,109,909969
utm300,302,2192,109,911373
utm300,302,2192,109,919395
utm300,302,2192,109,963120
utm300,302,2192,109,1010875
utm300,302,2192,109,945651
utm300,302,2192,109,931962
utm300,302,2192,109,994513
utm300,302,2192,109,941510
utm300,302,2192,109,969868
utm300,302,2192,109,936756
utm300,302,2192,109,1006921
utm300,302,2192,109,941550
utm300,302,2192,109,951628
utm300,302,2192,109,995197
utm300,302,2192,109,995712
utm300,302,2192,109,959210
utm300,302,2192,109,944736
utm300,302,2192,109,968879
utm300,302,2192,109,971921
utm300,302,2192,109,950825
utm300,302,2192,109,1023166
utm300,302,2192,109,962196
utm300,302,2192,109,1016635
