graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
will57,59,128,29,24456
will57,59,128,29,24246
will57,59,128,29,24382
will57,59,128,29,24048
will57,59,128,29,24034
will57,59,128,29,24002
will57,59,128,29,23985
will57,59,128,29,23258
will57,59,128,29,23267
will57,59,128,29,23433
will57,59,128,29,23080
will57,59,128,29,23218
will57,59,128,28,25611
will57,59,128,29,23403
will57,59,128,29,23140
will57,59,128,29,24911
will57,59,128,29,23836
will57,59,128,29,23636
will57,59,128,29,23690
will57,59,128,29,24758
will57,59,128,29,23167
will57,59,128,29,23124
will57,59,128,28,24526
will57,59,128,29,24572
will57,59,128,29,24251
will57,59,128,29,24163
will57,59,128,29,23750
will57,59,128,29,24201
will57,59,128,29,23957
will57,59,128,29,24379
