graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
young1c,843,1625,630,7622173
young1c,843,1625,630,7676159
young1c,843,1625,630,7671314
young1c,843,1625,630,7681447
young1c,843,1625,630,7622038
young1c,843,1625,630,7647919
young1c,843,1625,630,7510499
young1c,843,1625,630,7677730
young1c,843,1625,630,7553901
young1c,843,1625,630,7570698
young1c,843,1625,630,7420839
young1c,843,1625,630,7481640
young1c,843,1625,630,7434932
young1c,843,1625,630,7484328
young1c,843,1625,630,7350377
young1c,843,1625,630,7561364
young1c,843,1625,630,7693877
young1c,843,1625,630,7603807
young1c,843,1625,630,7506404
young1c,843,1625,630,7595335
young1c,843,1625,630,7446076
young1c,843,1625,630,7464719
young1c,843,1625,630,7348483
young1c,843,1625,630,7764256
young1c,843,1625,630,7576200
young1c,843,1625,630,7757337
young1c,843,1625,630,7563490
young1c,843,1625,630,7466161
young1c,843,1625,630,7528936
young1c,843,1625,630,7561239
