graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
08blocks,302,577,27,862058
08blocks,302,577,27,795310
08blocks,302,577,27,840619
08blocks,302,577,27,784715
08blocks,302,577,27,784478
08blocks,302,577,27,806258
08blocks,302,577,27,858307
08blocks,302,577,27,813815
08blocks,302,577,27,743317
08blocks,302,577,27,740618
08blocks,302,577,27,733619
08blocks,302,577,27,758364
08blocks,302,577,27,792991
08blocks,302,577,27,743643
08blocks,302,577,27,768512
08blocks,302,577,27,756325
08blocks,302,577,27,753408
08blocks,302,577,27,748374
08blocks,302,577,27,738793
08blocks,302,577,27,747119
08blocks,302,577,27,738130
08blocks,302,577,27,743157
08blocks,302,577,27,763583
08blocks,302,577,27,716778
08blocks,302,577,27,724717
08blocks,302,577,27,784829
08blocks,302,577,27,765768
08blocks,302,577,27,743487
08blocks,302,577,27,754244
08blocks,302,577,27,744621
