graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
CAG_mat364,366,10475,28,2966057
CAG_mat364,366,10475,25,3740834
CAG_mat364,366,10475,27,4255516
CAG_mat364,366,10475,28,3247741
CAG_mat364,366,10475,27,3644363
CAG_mat364,366,10475,28,3110061
CAG_mat364,366,10475,28,3013234
CAG_mat364,366,10475,26,3778546
CAG_mat364,366,10475,28,2917981
CAG_mat364,366,10475,27,4117602
CAG_mat364,366,10475,28,2975505
CAG_mat364,366,10475,28,3193198
CAG_mat364,366,10475,28,3028209
CAG_mat364,366,10475,28,2968370
CAG_mat364,366,10475,28,2857510
CAG_mat364,366,10475,27,3488488
CAG_mat364,366,10475,28,3178867
CAG_mat364,366,10475,28,3204504
CAG_mat364,366,10475,26,3713425
CAG_mat364,366,10475,26,3796175
CAG_mat364,366,10475,28,2919994
CAG_mat364,366,10475,28,3292590
CAG_mat364,366,10475,27,3656722
CAG_mat364,366,10475,27,2996541
CAG_mat364,366,10475,25,3863181
CAG_mat364,366,10475,28,3196045
CAG_mat364,366,10475,26,3480795
CAG_mat364,366,10475,27,3606939
CAG_mat364,366,10475,28,3030852
CAG_mat364,366,10475,26,3515391
