graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
DK01R,905,5642,341,10913601
DK01R,905,5642,341,10830798
DK01R,905,5642,341,10771542
DK01R,905,5642,341,11062416
DK01R,905,5642,341,11379960
DK01R,905,5642,341,10875138
DK01R,905,5642,341,10809586
DK01R,905,5642,341,10822626
DK01R,905,5642,341,10603717
DK01R,905,5642,341,10839355
DK01R,905,5642,341,10747790
DK01R,905,5642,341,10756049
DK01R,905,5642,341,10898542
DK01R,905,5642,341,10734405
DK01R,905,5642,341,10977240
DK01R,905,5642,341,10807229
DK01R,905,5642,341,10721625
DK01R,905,5642,341,10908360
DK01R,905,5642,341,10857760
DK01R,905,5642,341,11689473
DK01R,905,5642,341,11862195
DK01R,905,5642,341,13196620
DK01R,905,5642,341,12110434
DK01R,905,5642,341,11286799
DK01R,905,5642,341,11703423
DK01R,905,5642,341,11938401
DK01R,905,5642,341,11685236
DK01R,905,5642,341,12046599
DK01R,905,5642,341,11636007
DK01R,905,5642,341,11866672
