graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
G11,802,1601,571,6466772
G11,802,1601,571,6521539
G11,802,1601,571,6535683
G11,802,1601,571,6615508
G11,802,1601,571,6493084
G11,802,1601,571,6545683
G11,802,1601,571,6495985
G11,802,1601,571,6421471
G11,802,1601,571,6517675
G11,802,1601,571,6478923
G11,802,1601,571,6651232
G11,802,1601,571,6474280
G11,802,1601,571,6498378
G11,802,1601,571,6546516
G11,802,1601,571,6559275
G11,802,1601,571,6577611
G11,802,1601,571,6425513
G11,802,1601,571,6450642
G11,802,1601,571,6501916
G11,802,1601,571,6558216
G11,802,1601,571,6543603
G11,802,1601,571,6449752
G11,802,1601,571,6383269
G11,802,1601,571,6446643
G11,802,1601,571,6360762
G11,802,1601,571,6393397
G11,802,1601,571,6358143
G11,802,1601,571,6438974
G11,802,1601,571,6489311
G11,802,1601,571,6378702
