graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
GD02_b,82,233,49,50912
GD02_b,82,233,49,50377
GD02_b,82,233,49,48712
GD02_b,82,233,49,47977
GD02_b,82,233,49,47732
GD02_b,82,233,49,47232
GD02_b,82,233,49,47538
GD02_b,82,233,49,49085
GD02_b,82,233,49,48635
GD02_b,82,233,49,49287
GD02_b,82,233,49,47046
GD02_b,82,233,49,46520
GD02_b,82,233,49,46884
GD02_b,82,233,47,47011
GD02_b,82,233,49,46528
GD02_b,82,233,48,47325
GD02_b,82,233,49,48200
GD02_b,82,233,49,47285
GD02_b,82,233,49,46085
GD02_b,82,233,47,52590
GD02_b,82,233,49,47844
GD02_b,82,233,49,47404
GD02_b,82,233,49,46901
GD02_b,82,233,49,46862
GD02_b,82,233,49,46505
GD02_b,82,233,49,46291
GD02_b,82,233,49,46982
GD02_b,82,233,49,46886
GD02_b,82,233,49,46790
GD02_b,82,233,49,48193
