graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Hamrle1,34,91,21,8899
Hamrle1,34,91,21,8962
Hamrle1,34,91,21,8684
Hamrle1,34,91,21,8860
Hamrle1,34,91,21,9021
Hamrle1,34,91,21,8968
Hamrle1,34,91,21,8778
Hamrle1,34,91,21,8794
Hamrle1,34,91,21,8906
Hamrle1,34,91,21,9171
Hamrle1,34,91,21,9096
Hamrle1,34,91,21,9113
Hamrle1,34,91,21,9054
Hamrle1,34,91,21,8897
Hamrle1,34,91,21,8986
Hamrle1,34,91,21,8989
Hamrle1,34,91,21,8860
Hamrle1,34,91,21,9001
Hamrle1,34,91,21,8588
Hamrle1,34,91,21,8641
Hamrle1,34,91,21,8802
Hamrle1,34,91,21,8593
Hamrle1,34,91,21,8670
Hamrle1,34,91,21,8417
Hamrle1,34,91,21,8553
Hamrle1,34,91,21,7876
Hamrle1,34,91,21,9023
Hamrle1,34,91,21,8761
Hamrle1,34,91,21,9206
Hamrle1,34,91,21,10669
