graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
L,958,1821,720,10704611
L,958,1821,720,10720963
L,958,1821,720,10670970
L,958,1821,720,10503111
L,958,1821,720,10444059
L,958,1821,720,10605360
L,958,1821,720,10477730
L,958,1821,720,10542100
L,958,1821,720,10445635
L,958,1821,720,10424647
L,958,1821,720,10389179
L,958,1821,720,10345601
L,958,1821,720,10424835
L,958,1821,720,10504125
L,958,1821,720,10614622
L,958,1821,720,10573885
L,958,1821,720,10590168
L,958,1821,720,10736904
L,958,1821,720,10718906
L,958,1821,720,10440172
L,958,1821,720,10500296
L,958,1821,720,10467936
L,958,1821,720,10768879
L,958,1821,720,10690275
L,958,1821,720,10684565
L,958,1821,720,10779397
L,958,1821,720,11285909
L,958,1821,720,10490399
L,958,1821,720,10711480
L,958,1821,720,10763051
