graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
M10PI_n1,528,534,512,3201752
M10PI_n1,528,534,504,3633798
M10PI_n1,528,534,493,3517118
M10PI_n1,528,534,523,3166584
M10PI_n1,528,534,528,2724718
M10PI_n1,528,534,510,3367780
M10PI_n1,528,534,507,3253785
M10PI_n1,528,534,504,3788993
M10PI_n1,528,534,493,3795636
M10PI_n1,528,534,509,4874544
M10PI_n1,528,534,515,3494493
M10PI_n1,528,534,495,4353703
M10PI_n1,528,534,528,2745631
M10PI_n1,528,534,497,3464538
M10PI_n1,528,534,525,3621209
M10PI_n1,528,534,501,3603106
M10PI_n1,528,534,496,4359133
M10PI_n1,528,534,515,4831191
M10PI_n1,528,534,528,4000291
M10PI_n1,528,534,528,4166846
M10PI_n1,528,534,507,4543158
M10PI_n1,528,534,504,4241327
M10PI_n1,528,534,503,3492574
M10PI_n1,528,534,528,2838377
M10PI_n1,528,534,503,3457112
M10PI_n1,528,534,528,2715921
M10PI_n1,528,534,508,4023859
M10PI_n1,528,534,520,3038407
M10PI_n1,528,534,493,3860118
M10PI_n1,528,534,528,2840118
