graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Ragusa16,26,59,17,6452
Ragusa16,26,59,17,6054
Ragusa16,26,59,18,5770
Ragusa16,26,59,16,6377
Ragusa16,26,59,18,6582
Ragusa16,26,59,18,5662
Ragusa16,26,59,18,5606
Ragusa16,26,59,18,5756
Ragusa16,26,59,17,5855
Ragusa16,26,59,15,6025
Ragusa16,26,59,18,5753
Ragusa16,26,59,18,5733
Ragusa16,26,59,18,5584
Ragusa16,26,59,17,5794
Ragusa16,26,59,17,5821
Ragusa16,26,59,18,5776
Ragusa16,26,59,17,5981
Ragusa16,26,59,18,5706
Ragusa16,26,59,18,5525
Ragusa16,26,59,18,5781
Ragusa16,26,59,18,5770
Ragusa16,26,59,17,5992
Ragusa16,26,59,18,5889
Ragusa16,26,59,18,5988
Ragusa16,26,59,18,5710
Ragusa16,26,59,18,5742
Ragusa16,26,59,18,5830
Ragusa16,26,59,18,5700
Ragusa16,26,59,18,5802
Ragusa16,26,59,18,5538
