graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Tina_AskCal,13,26,10,1293
Tina_AskCal,13,26,10,1152
Tina_AskCal,13,26,10,1206
Tina_AskCal,13,26,10,1120
Tina_AskCal,13,26,10,1206
Tina_AskCal,13,26,9,1190
Tina_AskCal,13,26,10,1139
Tina_AskCal,13,26,10,1081
Tina_AskCal,13,26,10,1075
Tina_AskCal,13,26,10,992
Tina_AskCal,13,26,10,1060
Tina_AskCal,13,26,10,991
Tina_AskCal,13,26,10,1071
Tina_AskCal,13,26,10,1006
Tina_AskCal,13,26,10,1056
Tina_AskCal,13,26,10,1143
Tina_AskCal,13,26,10,1230
Tina_AskCal,13,26,10,1141
Tina_AskCal,13,26,10,1191
Tina_AskCal,13,26,10,1213
Tina_AskCal,13,26,10,1119
Tina_AskCal,13,26,10,1129
Tina_AskCal,13,26,9,1049
Tina_AskCal,13,26,9,1063
Tina_AskCal,13,26,10,1030
Tina_AskCal,13,26,10,1013
Tina_AskCal,13,26,10,1043
Tina_AskCal,13,26,10,1110
Tina_AskCal,13,26,10,1216
Tina_AskCal,13,26,10,1302
