graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Tina_DisCal,13,33,9,1084
Tina_DisCal,13,33,9,1032
Tina_DisCal,13,33,8,1089
Tina_DisCal,13,33,9,1028
Tina_DisCal,13,33,8,1150
Tina_DisCal,13,33,8,1080
Tina_DisCal,13,33,9,993
Tina_DisCal,13,33,9,1122
Tina_DisCal,13,33,8,1081
Tina_DisCal,13,33,8,1100
Tina_DisCal,13,33,9,1157
Tina_DisCal,13,33,9,1044
Tina_DisCal,13,33,9,1065
Tina_DisCal,13,33,9,1067
Tina_DisCal,13,33,9,1060
Tina_DisCal,13,33,9,1031
Tina_DisCal,13,33,9,1068
Tina_DisCal,13,33,8,1060
Tina_DisCal,13,33,9,1054
Tina_DisCal,13,33,8,1071
Tina_DisCal,13,33,8,1037
Tina_DisCal,13,33,9,1042
Tina_DisCal,13,33,9,1028
Tina_DisCal,13,33,9,1005
Tina_DisCal,13,33,9,1055
Tina_DisCal,13,33,8,1063
Tina_DisCal,13,33,9,1035
Tina_DisCal,13,33,9,1062
Tina_DisCal,13,33,9,1065
Tina_DisCal,13,33,9,1034
