graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
cubic_1500,1502,2251,1310,30944596
cubic_1500,1502,2251,1310,30706141
cubic_1500,1502,2251,1310,29811522
cubic_1500,1502,2251,1310,30744681
cubic_1500,1502,2251,1310,30454222
cubic_1500,1502,2251,1310,29131550
cubic_1500,1502,2251,1310,29388852
cubic_1500,1502,2251,1310,29666698
cubic_1500,1502,2251,1310,29249126
cubic_1500,1502,2251,1310,30647142
cubic_1500,1502,2251,1310,30534666
cubic_1500,1502,2251,1310,29826337
cubic_1500,1502,2251,1310,30082750
cubic_1500,1502,2251,1310,30118800
cubic_1500,1502,2251,1310,29564232
cubic_1500,1502,2251,1310,29642430
cubic_1500,1502,2251,1310,30539299
cubic_1500,1502,2251,1310,30730817
cubic_1500,1502,2251,1310,29907292
cubic_1500,1502,2251,1310,30515261
cubic_1500,1502,2251,1310,29693971
cubic_1500,1502,2251,1310,30701512
cubic_1500,1502,2251,1310,30139730
cubic_1500,1502,2251,1310,29479619
cubic_1500,1502,2251,1310,30834406
cubic_1500,1502,2251,1310,29607299
cubic_1500,1502,2251,1310,29551673
cubic_1500,1502,2251,1310,30820750
cubic_1500,1502,2251,1310,30441750
cubic_1500,1502,2251,1310,30822336
