graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
S10PI_n1.txt,527,658,292,8618955
S10PI_n1.txt,527,658,292,8844463
S10PI_n1.txt,527,658,292,9521823
S10PI_n1.txt,527,658,292,9667423
S10PI_n1.txt,527,658,292,9893100
S10PI_n1.txt,527,658,292,10508139
S10PI_n1.txt,527,658,292,11043109
S10PI_n1.txt,527,658,292,11821701
S10PI_n1.txt,527,658,292,11027527
S10PI_n1.txt,527,658,292,9984528
S10PI_n1.txt,527,658,292,11103290
S10PI_n1.txt,527,658,292,10596141
S10PI_n1.txt,527,658,292,11423573
S10PI_n1.txt,527,658,292,11191993
S10PI_n1.txt,527,658,292,11082233
S10PI_n1.txt,527,658,292,10713000
S10PI_n1.txt,527,658,292,11330395
S10PI_n1.txt,527,658,292,11972269
S10PI_n1.txt,527,658,292,11751099
S10PI_n1.txt,527,658,292,11243237
S10PI_n1.txt,527,658,292,13728186
S10PI_n1.txt,527,658,292,11651881
S10PI_n1.txt,527,658,292,13810964
S10PI_n1.txt,527,658,292,12428714
S10PI_n1.txt,527,658,292,10456437
S10PI_n1.txt,527,658,292,9316880
S10PI_n1.txt,527,658,292,8511632
S10PI_n1.txt,527,658,292,10111006
S10PI_n1.txt,527,658,292,11013222
S10PI_n1.txt,527,658,292,9334570
