graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Sandi_authors.txt,86,124,56,126014
Sandi_authors.txt,86,124,57,126385
Sandi_authors.txt,86,124,58,127745
Sandi_authors.txt,86,124,58,129447
Sandi_authors.txt,86,124,56,129961
Sandi_authors.txt,86,124,56,131600
Sandi_authors.txt,86,124,55,133376
Sandi_authors.txt,86,124,54,134323
Sandi_authors.txt,86,124,57,122591
Sandi_authors.txt,86,124,56,124120
Sandi_authors.txt,86,124,58,121712
Sandi_authors.txt,86,124,57,125425
Sandi_authors.txt,86,124,58,121644
Sandi_authors.txt,86,124,56,122937
Sandi_authors.txt,86,124,58,120840
Sandi_authors.txt,86,124,56,126275
Sandi_authors.txt,86,124,58,125964
Sandi_authors.txt,86,124,56,122066
Sandi_authors.txt,86,124,54,127738
Sandi_authors.txt,86,124,57,127675
Sandi_authors.txt,86,124,56,129748
Sandi_authors.txt,86,124,56,129833
Sandi_authors.txt,86,124,56,143488
Sandi_authors.txt,86,124,55,134554
Sandi_authors.txt,86,124,58,89011
Sandi_authors.txt,86,124,55,98595
Sandi_authors.txt,86,124,55,117596
Sandi_authors.txt,86,124,54,124898
Sandi_authors.txt,86,124,57,116704
Sandi_authors.txt,86,124,55,119235
