graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
Tina_AskCal.txt,11,25,6,1743
Tina_AskCal.txt,11,25,6,1813
Tina_AskCal.txt,11,25,6,2035
Tina_AskCal.txt,11,25,6,3808
Tina_AskCal.txt,11,25,6,3685
Tina_AskCal.txt,11,25,6,1829
Tina_AskCal.txt,11,25,6,1862
Tina_AskCal.txt,11,25,6,4056
Tina_AskCal.txt,11,25,6,2098
Tina_AskCal.txt,11,25,6,5371
Tina_AskCal.txt,11,25,6,2060
Tina_AskCal.txt,11,25,6,2068
Tina_AskCal.txt,11,25,6,1986
Tina_AskCal.txt,11,25,6,2051
Tina_AskCal.txt,11,25,6,2103
Tina_AskCal.txt,11,25,6,6602
Tina_AskCal.txt,11,25,6,1981
Tina_AskCal.txt,11,25,6,1783
Tina_AskCal.txt,11,25,6,2057
Tina_AskCal.txt,11,25,6,2148
Tina_AskCal.txt,11,25,6,1988
Tina_AskCal.txt,11,25,6,4622
Tina_AskCal.txt,11,25,6,2258
Tina_AskCal.txt,11,25,6,1563
Tina_AskCal.txt,11,25,6,2204
Tina_AskCal.txt,11,25,6,2224
Tina_AskCal.txt,11,25,6,4594
Tina_AskCal.txt,11,25,6,1971
Tina_AskCal.txt,11,25,6,2005
Tina_AskCal.txt,11,25,6,2298
