graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
ash292.txt,292,1104,51,2883508
ash292.txt,292,1104,51,2960380
ash292.txt,292,1104,51,2991258
ash292.txt,292,1104,51,3000646
ash292.txt,292,1104,51,3002217
ash292.txt,292,1104,51,3054472
ash292.txt,292,1104,51,3052658
ash292.txt,292,1104,51,3115453
ash292.txt,292,1104,51,2763977
ash292.txt,292,1104,51,2903756
ash292.txt,292,1104,51,2985678
ash292.txt,292,1104,51,3002377
ash292.txt,292,1104,51,3048290
ash292.txt,292,1104,51,3000392
ash292.txt,292,1104,51,2958110
ash292.txt,292,1104,51,3145148
ash292.txt,292,1104,51,2828345
ash292.txt,292,1104,51,2985727
ash292.txt,292,1104,51,2927947
ash292.txt,292,1104,51,2949441
ash292.txt,292,1104,51,2924887
ash292.txt,292,1104,51,2874679
ash292.txt,292,1104,51,3122263
ash292.txt,292,1104,51,3129884
ash292.txt,292,1104,51,2291812
ash292.txt,292,1104,51,2221875
ash292.txt,292,1104,51,2641926
ash292.txt,292,1104,51,2401973
ash292.txt,292,1104,51,2376612
ash292.txt,292,1104,51,2608777
