graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
bcsstk01.txt,48,200,9,42244
bcsstk01.txt,48,200,9,42074
bcsstk01.txt,48,200,9,44344
bcsstk01.txt,48,200,9,47234
bcsstk01.txt,48,200,9,53357
bcsstk01.txt,48,200,9,52808
bcsstk01.txt,48,200,8,65611
bcsstk01.txt,48,200,8,66655
bcsstk01.txt,48,200,9,42691
bcsstk01.txt,48,200,9,47379
bcsstk01.txt,48,200,9,44026
bcsstk01.txt,48,200,9,45411
bcsstk01.txt,48,200,9,53065
bcsstk01.txt,48,200,9,54155
bcsstk01.txt,48,200,9,54520
bcsstk01.txt,48,200,9,55422
bcsstk01.txt,48,200,9,43671
bcsstk01.txt,48,200,8,47527
bcsstk01.txt,48,200,9,47374
bcsstk01.txt,48,200,9,45969
bcsstk01.txt,48,200,9,54528
bcsstk01.txt,48,200,9,54714
bcsstk01.txt,48,200,9,43162
bcsstk01.txt,48,200,9,54777
bcsstk01.txt,48,200,9,56771
bcsstk01.txt,48,200,9,43203
bcsstk01.txt,48,200,9,43994
bcsstk01.txt,48,200,9,40190
bcsstk01.txt,48,200,8,42759
bcsstk01.txt,48,200,9,37542
