graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
brock200-2.txt,200,9876,14,3084938
brock200-2.txt,200,9876,14,3148770
brock200-2.txt,200,9876,14,3149527
brock200-2.txt,200,9876,15,3162207
brock200-2.txt,200,9876,14,3255006
brock200-2.txt,200,9876,14,3267283
brock200-2.txt,200,9876,13,3300753
brock200-2.txt,200,9876,14,3353046
brock200-2.txt,200,9876,14,3119010
brock200-2.txt,200,9876,14,3165022
brock200-2.txt,200,9876,14,3215557
brock200-2.txt,200,9876,15,3084487
brock200-2.txt,200,9876,14,3141801
brock200-2.txt,200,9876,14,3189712
brock200-2.txt,200,9876,12,3423681
brock200-2.txt,200,9876,14,3300768
brock200-2.txt,200,9876,14,3202730
brock200-2.txt,200,9876,14,3171639
brock200-2.txt,200,9876,14,3215572
brock200-2.txt,200,9876,13,3279462
brock200-2.txt,200,9876,14,3212392
brock200-2.txt,200,9876,14,3231099
brock200-2.txt,200,9876,14,3186349
brock200-2.txt,200,9876,14,3389318
brock200-2.txt,200,9876,15,2484139
brock200-2.txt,200,9876,14,2415245
brock200-2.txt,200,9876,14,2687347
brock200-2.txt,200,9876,15,2664609
brock200-2.txt,200,9876,14,2711185
brock200-2.txt,200,9876,14,2979638
