graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
dwt__193.txt,193,1746,16,1272882
dwt__193.txt,193,1746,16,1350624
dwt__193.txt,193,1746,16,1412298
dwt__193.txt,193,1746,16,1438207
dwt__193.txt,193,1746,16,1445650
dwt__193.txt,193,1746,16,1462597
dwt__193.txt,193,1746,16,1465495
dwt__193.txt,193,1746,16,1471986
dwt__193.txt,193,1746,16,1442370
dwt__193.txt,193,1746,16,1338508
dwt__193.txt,193,1746,16,1421674
dwt__193.txt,193,1746,16,1349130
dwt__193.txt,193,1746,16,1348500
dwt__193.txt,193,1746,16,1369873
dwt__193.txt,193,1746,16,1415817
dwt__193.txt,193,1746,16,1468116
dwt__193.txt,193,1746,16,1336804
dwt__193.txt,193,1746,16,1341662
dwt__193.txt,193,1746,16,1432838
dwt__193.txt,193,1746,16,1413371
dwt__193.txt,193,1746,16,1436134
dwt__193.txt,193,1746,16,1340671
dwt__193.txt,193,1746,16,1391221
dwt__193.txt,193,1746,16,1486111
dwt__193.txt,193,1746,14,912657
dwt__193.txt,193,1746,16,1064489
dwt__193.txt,193,1746,16,1235158
dwt__193.txt,193,1746,16,1246677
dwt__193.txt,193,1746,16,1221402
dwt__193.txt,193,1746,16,1213915
