graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
dwt___66.txt,66,160,17,72974
dwt___66.txt,66,160,17,74151
dwt___66.txt,66,160,18,77719
dwt___66.txt,66,160,18,78109
dwt___66.txt,66,160,17,81016
dwt___66.txt,66,160,18,85829
dwt___66.txt,66,160,18,103587
dwt___66.txt,66,160,16,111332
dwt___66.txt,66,160,18,68653
dwt___66.txt,66,160,18,75535
dwt___66.txt,66,160,17,83671
dwt___66.txt,66,160,16,84297
dwt___66.txt,66,160,16,85737
dwt___66.txt,66,160,17,83593
dwt___66.txt,66,160,18,88223
dwt___66.txt,66,160,18,88564
dwt___66.txt,66,160,17,69400
dwt___66.txt,66,160,17,74396
dwt___66.txt,66,160,16,82315
dwt___66.txt,66,160,18,83667
dwt___66.txt,66,160,18,83076
dwt___66.txt,66,160,16,85666
dwt___66.txt,66,160,17,85054
dwt___66.txt,66,160,17,70001
dwt___66.txt,66,160,18,86215
dwt___66.txt,66,160,17,63423
dwt___66.txt,66,160,17,71379
dwt___66.txt,66,160,18,67743
dwt___66.txt,66,160,18,77807
dwt___66.txt,66,160,17,71962
