graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gen200-p0-9-55.txt,200,17910,4,5084596
gen200-p0-9-55.txt,200,17910,4,5156658
gen200-p0-9-55.txt,200,17910,4,5202408
gen200-p0-9-55.txt,200,17910,4,5219918
gen200-p0-9-55.txt,200,17910,4,5252393
gen200-p0-9-55.txt,200,17910,4,5251868
gen200-p0-9-55.txt,200,17910,4,5320449
gen200-p0-9-55.txt,200,17910,4,5334119
gen200-p0-9-55.txt,200,17910,4,4806723
gen200-p0-9-55.txt,200,17910,5,4701693
gen200-p0-9-55.txt,200,17910,4,4832731
gen200-p0-9-55.txt,200,17910,4,4863579
gen200-p0-9-55.txt,200,17910,4,5027074
gen200-p0-9-55.txt,200,17910,4,5220010
gen200-p0-9-55.txt,200,17910,4,5498926
gen200-p0-9-55.txt,200,17910,5,6227615
gen200-p0-9-55.txt,200,17910,5,4829842
gen200-p0-9-55.txt,200,17910,4,4925431
gen200-p0-9-55.txt,200,17910,5,4915746
gen200-p0-9-55.txt,200,17910,4,5125974
gen200-p0-9-55.txt,200,17910,4,4885097
gen200-p0-9-55.txt,200,17910,4,5136382
gen200-p0-9-55.txt,200,17910,4,5257791
gen200-p0-9-55.txt,200,17910,5,4856352
gen200-p0-9-55.txt,200,17910,5,4088337
gen200-p0-9-55.txt,200,17910,4,3877016
gen200-p0-9-55.txt,200,17910,4,3965343
gen200-p0-9-55.txt,200,17910,4,4355131
gen200-p0-9-55.txt,200,17910,4,4494807
gen200-p0-9-55.txt,200,17910,4,4112935
