graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
gre__512.txt,512,1936,134,10355280
gre__512.txt,512,1936,134,10445745
gre__512.txt,512,1936,134,10511402
gre__512.txt,512,1936,134,10543668
gre__512.txt,512,1936,134,10621512
gre__512.txt,512,1936,134,10696091
gre__512.txt,512,1936,134,10756925
gre__512.txt,512,1936,134,10776020
gre__512.txt,512,1936,134,10437411
gre__512.txt,512,1936,134,10525805
gre__512.txt,512,1936,134,10509851
gre__512.txt,512,1936,134,10659899
gre__512.txt,512,1936,134,10579226
gre__512.txt,512,1936,134,10521619
gre__512.txt,512,1936,134,10644614
gre__512.txt,512,1936,134,10795734
gre__512.txt,512,1936,134,10609009
gre__512.txt,512,1936,134,10619715
gre__512.txt,512,1936,134,10478852
gre__512.txt,512,1936,134,10625120
gre__512.txt,512,1936,134,10562124
gre__512.txt,512,1936,134,10635890
gre__512.txt,512,1936,134,10445829
gre__512.txt,512,1936,134,10589898
gre__512.txt,512,1936,134,7631280
gre__512.txt,512,1936,134,7872811
gre__512.txt,512,1936,134,8846098
gre__512.txt,512,1936,134,8814200
gre__512.txt,512,1936,134,9060387
gre__512.txt,512,1936,134,8842840
