graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
lund_a.txt,147,1224,14,670774
lund_a.txt,147,1224,14,715730
lund_a.txt,147,1224,14,746685
lund_a.txt,147,1224,14,752644
lund_a.txt,147,1224,14,771697
lund_a.txt,147,1224,13,775529
lund_a.txt,147,1224,14,796455
lund_a.txt,147,1224,14,806341
lund_a.txt,147,1224,14,744192
lund_a.txt,147,1224,14,749346
lund_a.txt,147,1224,14,797700
lund_a.txt,147,1224,14,747792
lund_a.txt,147,1224,14,732694
lund_a.txt,147,1224,14,751018
lund_a.txt,147,1224,14,777161
lund_a.txt,147,1224,14,930732
lund_a.txt,147,1224,14,745709
lund_a.txt,147,1224,14,725050
lund_a.txt,147,1224,14,733982
lund_a.txt,147,1224,14,767380
lund_a.txt,147,1224,14,745658
lund_a.txt,147,1224,14,747411
lund_a.txt,147,1224,14,764139
lund_a.txt,147,1224,14,754823
lund_a.txt,147,1224,14,703113
lund_a.txt,147,1224,14,644415
lund_a.txt,147,1224,14,647806
lund_a.txt,147,1224,14,652419
lund_a.txt,147,1224,14,647844
lund_a.txt,147,1224,14,641717
