graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
p-hat500-2.txt,500,62946,18,10075868
p-hat500-2.txt,500,62946,18,10114565
p-hat500-2.txt,500,62946,18,10134480
p-hat500-2.txt,500,62946,18,10227905
p-hat500-2.txt,500,62946,18,10437902
p-hat500-2.txt,500,62946,15,10552152
p-hat500-2.txt,500,62946,14,10603829
p-hat500-2.txt,500,62946,17,10857344
p-hat500-2.txt,500,62946,18,9814120
p-hat500-2.txt,500,62946,15,10253998
p-hat500-2.txt,500,62946,15,10259546
p-hat500-2.txt,500,62946,17,9995205
p-hat500-2.txt,500,62946,15,10683992
p-hat500-2.txt,500,62946,18,9980430
p-hat500-2.txt,500,62946,14,10779736
p-hat500-2.txt,500,62946,15,10841700
p-hat500-2.txt,500,62946,16,10390310
p-hat500-2.txt,500,62946,18,9871994
p-hat500-2.txt,500,62946,18,9843611
p-hat500-2.txt,500,62946,16,10312325
p-hat500-2.txt,500,62946,14,10671253
p-hat500-2.txt,500,62946,18,10064412
p-hat500-2.txt,500,62946,15,10813730
p-hat500-2.txt,500,62946,18,10237479
p-hat500-2.txt,500,62946,18,7994545
p-hat500-2.txt,500,62946,17,8656560
p-hat500-2.txt,500,62946,14,8688751
p-hat500-2.txt,500,62946,18,8238917
p-hat500-2.txt,500,62946,15,9346868
p-hat500-2.txt,500,62946,16,8761386
