graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
plat362.txt,362,2893,39,5189587
plat362.txt,362,2893,38,5243979
plat362.txt,362,2893,39,5323792
plat362.txt,362,2893,39,5346472
plat362.txt,362,2893,39,5395296
plat362.txt,362,2893,38,5411807
plat362.txt,362,2893,39,5417673
plat362.txt,362,2893,37,5572072
plat362.txt,362,2893,39,5194578
plat362.txt,362,2893,39,5216311
plat362.txt,362,2893,39,5396477
plat362.txt,362,2893,39,5330560
plat362.txt,362,2893,39,5282496
plat362.txt,362,2893,39,5347779
plat362.txt,362,2893,39,5517549
plat362.txt,362,2893,39,5442597
plat362.txt,362,2893,39,5188236
plat362.txt,362,2893,39,5256104
plat362.txt,362,2893,39,5226751
plat362.txt,362,2893,39,5298942
plat362.txt,362,2893,39,5280350
plat362.txt,362,2893,38,5426470
plat362.txt,362,2893,38,5401719
plat362.txt,362,2893,39,5283326
plat362.txt,362,2893,39,3940551
plat362.txt,362,2893,38,4184038
plat362.txt,362,2893,39,4126023
plat362.txt,362,2893,37,4539541
plat362.txt,362,2893,39,4517139
plat362.txt,362,2893,39,4661045
