graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
rbs480b.txt,480,16421,50,16912869
rbs480b.txt,480,16421,51,17005840
rbs480b.txt,480,16421,52,17008255
rbs480b.txt,480,16421,50,17052989
rbs480b.txt,480,16421,50,17164606
rbs480b.txt,480,16421,50,17249826
rbs480b.txt,480,16421,50,17274908
rbs480b.txt,480,16421,50,17355091
rbs480b.txt,480,16421,53,16184254
rbs480b.txt,480,16421,50,16364644
rbs480b.txt,480,16421,52,16429437
rbs480b.txt,480,16421,51,16820269
rbs480b.txt,480,16421,50,16861634
rbs480b.txt,480,16421,50,16881262
rbs480b.txt,480,16421,50,16966772
rbs480b.txt,480,16421,51,17356743
rbs480b.txt,480,16421,53,15777667
rbs480b.txt,480,16421,53,16186441
rbs480b.txt,480,16421,51,16340074
rbs480b.txt,480,16421,50,16517245
rbs480b.txt,480,16421,50,16281318
rbs480b.txt,480,16421,50,17318480
rbs480b.txt,480,16421,49,17078387
rbs480b.txt,480,16421,50,16831881
rbs480b.txt,480,16421,51,12529727
rbs480b.txt,480,16421,52,12246952
rbs480b.txt,480,16421,51,13101578
rbs480b.txt,480,16421,50,13768523
rbs480b.txt,480,16421,51,14252845
rbs480b.txt,480,16421,50,14028930
