graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
rw136.txt,136,373,76,400709
rw136.txt,136,373,75,415242
rw136.txt,136,373,76,450410
rw136.txt,136,373,76,455664
rw136.txt,136,373,76,457438
rw136.txt,136,373,75,467945
rw136.txt,136,373,76,476545
rw136.txt,136,373,75,483602
rw136.txt,136,373,75,436686
rw136.txt,136,373,75,430911
rw136.txt,136,373,76,413096
rw136.txt,136,373,75,421259
rw136.txt,136,373,75,428072
rw136.txt,136,373,76,419996
rw136.txt,136,373,75,440277
rw136.txt,136,373,75,433517
rw136.txt,136,373,76,414880
rw136.txt,136,373,75,439819
rw136.txt,136,373,76,417700
rw136.txt,136,373,75,433144
rw136.txt,136,373,75,439696
rw136.txt,136,373,75,422526
rw136.txt,136,373,75,425633
rw136.txt,136,373,75,429300
rw136.txt,136,373,75,280853
rw136.txt,136,373,76,356904
rw136.txt,136,373,76,295273
rw136.txt,136,373,76,366536
rw136.txt,136,373,75,373888
rw136.txt,136,373,76,363146
