graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
shl____0.txt,663,1684,287,16017070
shl____0.txt,663,1684,287,16376179
shl____0.txt,663,1684,287,16658754
shl____0.txt,663,1684,287,16715741
shl____0.txt,663,1684,287,17171130
shl____0.txt,663,1684,287,17254320
shl____0.txt,663,1684,287,17287749
shl____0.txt,663,1684,287,17301703
shl____0.txt,663,1684,287,16376223
shl____0.txt,663,1684,287,16799451
shl____0.txt,663,1684,287,16753306
shl____0.txt,663,1684,287,16670304
shl____0.txt,663,1684,287,17302682
shl____0.txt,663,1684,287,16772360
shl____0.txt,663,1684,287,17160802
shl____0.txt,663,1684,287,17169982
shl____0.txt,663,1684,287,16248841
shl____0.txt,663,1684,287,16373034
shl____0.txt,663,1684,287,17044769
shl____0.txt,663,1684,287,16638054
shl____0.txt,663,1684,287,17143424
shl____0.txt,663,1684,287,17316218
shl____0.txt,663,1684,287,17284044
shl____0.txt,663,1684,287,17395196
shl____0.txt,663,1684,287,12854731
shl____0.txt,663,1684,287,11820517
shl____0.txt,663,1684,287,14557432
shl____0.txt,663,1684,287,13264611
shl____0.txt,663,1684,287,14068037
shl____0.txt,663,1684,287,14051411
