graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond)
str__400.txt,363,3125,193,5345353
str__400.txt,363,3125,193,5372164
str__400.txt,363,3125,192,5396335
str__400.txt,363,3125,193,5407058
str__400.txt,363,3125,191,5422776
str__400.txt,363,3125,193,5532116
str__400.txt,363,3125,192,5570093
str__400.txt,363,3125,191,5874162
str__400.txt,363,3125,193,5300757
str__400.txt,363,3125,192,5312367
str__400.txt,363,3125,192,5179544
str__400.txt,363,3125,192,5333474
str__400.txt,363,3125,193,5435482
str__400.txt,363,3125,192,5357992
str__400.txt,363,3125,191,5526857
str__400.txt,363,3125,191,5260622
str__400.txt,363,3125,193,5170537
str__400.txt,363,3125,193,5284336
str__400.txt,363,3125,192,5285969
str__400.txt,363,3125,193,5260401
str__400.txt,363,3125,193,5193176
str__400.txt,363,3125,191,5503471
str__400.txt,363,3125,192,5376261
str__400.txt,363,3125,193,5182101
str__400.txt,363,3125,192,3975952
str__400.txt,363,3125,192,4335502
str__400.txt,363,3125,193,4347017
str__400.txt,363,3125,192,4555929
str__400.txt,363,3125,193,4388591
str__400.txt,363,3125,191,4841884
